First Name,Last Name,Specific Disease SVS (dRWPS),Total Relevant Publications,Most Recent Publication Date,Matching MeSH Topics,Broad Area SVS (tRWPS)
Oliver,Schnell,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Adrian,Stencel,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Haoyue,Zhou,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yan,Zhang,55.56,1,2026-02-01 00:00:00.000000000,Humans,100.0
Francesca,Centrone,55.56,1,2026-12-01 00:00:00.000000000,Humans,55.56
Maria,Chironna,55.56,1,2026-12-01 00:00:00.000000000,Humans,55.56
Yao,Liu,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Stacey,N Lee,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Jeanette,E Boudreau,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yu,Jiang,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Xiuxiu,Liu,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Sumit,K Subudhi,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Victoria,Williams,55.56,1,2026-12-01 00:00:00.000000000,Humans,55.56
Rajeka,Lazarus,55.56,1,2026-12-01 00:00:00.000000000,Humans,55.56
Guillaume,Cattin,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Emmanuel,Montassier,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Min-Seok,Kim,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Xiaokang,Chen,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Heng,Yin,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Zijie,Xu,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Lili,Wang,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Siyu,Peng,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Charles,G Drake,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Chia-Hui,Chien,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yu-Chuan,Li,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Saimuralidhar,Srinivasan,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Suman,Koganti,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Chunyan,Yan,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Jingbo,Hou,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Tong,Jiao,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Zhichao,Zhou,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Christoph,Wanner,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Ping,Zhang,55.56,1,2026-04-01 00:00:00.000000000,Humans,55.56
Xiaoshan,Zhu,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Hanyun,Zhou,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Alpo,Vuorio,55.56,1,2026-12-01 00:00:00.000000000,Humans,55.56
Timo,Strandberg,55.56,1,2026-12-01 00:00:00.000000000,Humans,55.56
Maria,Grazia Bongiorni,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Reinoud,E Knops,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Soyoon,Park,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Ruigang,Diao,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Serena,Sdinami,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Gabriella,Pravettoni,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
David,O Francis,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Sung-Hwan,Kim,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Mustafa,Uçar,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Muhammed,İkbal Şaşmaz,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Young-Sun,Park,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Jianghua,Yang,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Zou,Xiaoyun,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
L,I Junru,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Elisa,Calisgan,55.56,1,2026-01-01 00:00:00.000000000,Humans,55.56
Kemal,Gocer,55.56,1,2026-01-01 00:00:00.000000000,Humans,55.56
Raghuraj,Chawla,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Bhanu,Duggal,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Abdelhadi,Farouji,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Iyad,Farouji,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Taisuke,Nakade,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Oguzhan,Alagoz,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Huanhuan,Ren,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Tohru,Minamino,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Shuangqing,Wu,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Lihong,Wang,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Qiuyu,Wang,55.56,1,2026-04-01 00:00:00.000000000,Humans,55.56
Pasquale,Perrone Filardi,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Marco,Bernardi,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Francesco,Versaci,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Mert,Gürsoy,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Ömer,Doğan,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Balsam,Hanna,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Tao,Jin,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Mengli,Gao,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Jing,Ji,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Maya,Oberman,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Jiuquan,Zhang,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Michael,W Hii,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Roni,Levy,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Netanel,Golan,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yaron,Arbel,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yingchun,Sun,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Michael,Papadakis,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Alessandro,Zorzi,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Sean,Noah,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Antonio,Dello Russo,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Francesco,Di Spigno,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Lynn,Chong,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Yuichi,Ichinose,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Takahiro,Higashi,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Annasofia,Holopainen,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Annamarja,Lamminmäki,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Kayley,M Ancy,55.56,1,2026-02-01 00:00:00.000000000,Humans,55.56
Daniela,Aschieri,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Vanda,Parisi,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Elena,Biagini,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Alessandro,Biffi,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
Stefano,Palermi,55.56,1,2026-03-01 00:00:00.000000000,Humans,55.56
